D1	D2	L1	L2	N1	N2	Shift	Time
0.48	0.52	0.00494	0.00427	10000	20000	97	5000
0.63	0.37	0.00397	0.00510	10000	20000	161	7368
0.67	0.33	0.00400	0.00485	10000	20000	208	9736
0.72	0.28	0.00376	0.00547	10000	20000	270	12105
0.76	0.24	0.00355	0.00549	10000	20000	312	14473
0.77	0.23	0.00348	0.00504	10000	20000	367	16842
0.80	0.20	0.00339	0.00598	10000	20000	421	19210
0.84	0.16	0.00314	0.00622	10000	20000	474	21578
0.82	0.18	0.00315	0.00334	10000	20000	306	23947
0.87	0.13	0.00299	0.00659	10000	20000	578	26315
0.90	0.10	0.00286	0.00675	10000	20000	626	28684
0.91	0.09	0.00292	0.00738	10000	20000	678	31052
0.84	0.16	0.00279	0.00279	10000	20000	217	33421
0.18	0.82	0.01728	0.00244	10000	20000	70	35789
0.88	0.12	0.00271	0.00312	10000	20000	418	38157
0.90	0.10	0.00274	0.00298	10000	20000	483	40526
0.93	0.07	0.00261	0.00254	10000	20000	262	42894
0.90	0.10	0.00255	0.00245	10000	20000	235	45263
0.93	0.07	0.00246	0.00241	10000	20000	278	47631
0.94	0.06	0.00253	0.00279	10000	20000	571	50000
0.45	0.55	0.00459	0.00451	10000	25263	101	5000
0.55	0.45	0.00383	0.00467	10000	25263	149	7368
0.59	0.41	0.00384	0.00505	10000	25263	209	9736
0.60	0.40	0.00368	0.00503	10000	25263	257	12105
0.63	0.37	0.00360	0.00527	10000	25263	316	14473
0.73	0.27	0.00318	0.00603	10000	25263	368	16842
0.73	0.27	0.00306	0.00551	10000	25263	414	19210
0.76	0.24	0.00291	0.00581	10000	25263	470	21578
0.80	0.20	0.00279	0.00607	10000	25263	523	23947
0.80	0.20	0.00289	0.00579	10000	25263	565	26315
0.81	0.19	0.00272	0.00663	10000	25263	627	28684
0.84	0.16	0.00267	0.00633	10000	25263	676	31052
0.85	0.15	0.00259	0.00575	10000	25263	725	33421
0.89	0.11	0.00236	0.00685	10000	25263	787	35789
0.89	0.11	0.00237	0.00734	10000	25263	824	38157
0.83	0.17	0.00228	0.00233	10000	25263	349	40526
0.85	0.15	0.00226	0.00230	10000	25263	390	42894
0.88	0.12	0.00224	0.00235	10000	25263	394	45263
0.92	0.08	0.00229	0.00661	10000	25263	1040	47631
0.56	0.44	0.00321	0.00179	10000	25263	186	50000
0.40	0.60	0.00409	0.00452	10000	30526	99	5000
0.45	0.55	0.00387	0.00472	10000	30526	157	7368
0.51	0.49	0.00347	0.00496	10000	30526	207	9736
0.55	0.45	0.00347	0.00503	10000	30526	261	12105
0.59	0.41	0.00324	0.00510	10000	30526	308	14473
0.62	0.38	0.00303	0.00510	10000	30526	363	16842
0.64	0.36	0.00300	0.00519	10000	30526	415	19210
0.66	0.34	0.00296	0.00516	10000	30526	464	21578
0.69	0.31	0.00285	0.00533	10000	30526	518	23947
0.72	0.28	0.00264	0.00545	10000	30526	560	26315
0.74	0.26	0.00252	0.00618	10000	30526	630	28684
0.77	0.23	0.00246	0.00552	10000	30526	672	31052
0.79	0.21	0.00236	0.00639	10000	30526	732	33421
0.81	0.19	0.00228	0.00667	10000	30526	785	35789
0.82	0.18	0.00232	0.00605	10000	30526	832	38157
0.85	0.15	0.00215	0.00661	10000	30526	890	40526
0.86	0.14	0.00216	0.00640	10000	30526	942	42894
0.87	0.13	0.00207	0.00635	10000	30526	986	45263
0.88	0.12	0.00205	0.00683	10000	30526	1038	47631
0.87	0.13	0.00199	0.00667	10000	30526	1085	50000
0.35	0.65	0.00428	0.00471	10000	35789	106	5000
0.39	0.61	0.00393	0.00468	10000	35789	159	7368
0.45	0.55	0.00326	0.00514	10000	35789	212	9736
0.48	0.52	0.00342	0.00519	10000	35789	261	12105
0.51	0.49	0.00313	0.00529	10000	35789	319	14473
0.55	0.45	0.00304	0.00532	10000	35789	357	16842
0.57	0.43	0.00297	0.00537	10000	35789	422	19210
0.58	0.42	0.00279	0.00526	10000	35789	466	21578
0.65	0.35	0.00258	0.00526	10000	35789	516	23947
0.69	0.31	0.00253	0.00603	10000	35789	582	26315
0.69	0.31	0.00244	0.00594	10000	35789	627	28684
0.71	0.29	0.00244	0.00564	10000	35789	671	31052
0.73	0.27	0.00223	0.00610	10000	35789	730	33421
0.74	0.26	0.00219	0.00610	10000	35789	775	35789
0.78	0.22	0.00213	0.00620	10000	35789	838	38157
0.77	0.23	0.00211	0.00603	10000	35789	888	40526
0.80	0.20	0.00201	0.00588	10000	35789	924	42894
0.80	0.20	0.00197	0.00586	10000	35789	993	45263
0.02	0.98	0.07635	0.00156	10000	35789	15	47631
0.85	0.15	0.00190	0.00595	10000	35789	1095	50000
0.32	0.68	0.00434	0.00451	10000	41052	103	5000
0.31	0.69	0.00414	0.00440	10000	41052	150	7368
0.38	0.62	0.00354	0.00483	10000	41052	208	9736
0.47	0.53	0.00307	0.00556	10000	41052	263	12105
0.45	0.55	0.00322	0.00505	10000	41052	314	14473
0.50	0.50	0.00296	0.00480	10000	41052	359	16842
0.52	0.48	0.00298	0.00483	10000	41052	415	19210
0.58	0.42	0.00267	0.00562	10000	41052	472	21578
0.58	0.42	0.00249	0.00550	10000	41052	526	23947
0.60	0.40	0.00245	0.00577	10000	41052	579	26315
0.66	0.34	0.00231	0.00594	10000	41052	628	28684
0.66	0.34	0.00229	0.00552	10000	41052	679	31052
0.69	0.31	0.00222	0.00566	10000	41052	728	33421
0.71	0.29	0.00212	0.00576	10000	41052	784	35789
0.73	0.27	0.00207	0.00559	10000	41052	828	38157
0.73	0.27	0.00202	0.00550	10000	41052	879	40526
0.77	0.23	0.00204	0.00565	10000	41052	943	42894
0.79	0.21	0.00189	0.00584	10000	41052	999	45263
0.78	0.22	0.00191	0.00603	10000	41052	1044	47631
0.78	0.22	0.00179	0.00634	10000	41052	1096	50000
0.27	0.73	0.00441	0.00456	10000	46315	104	5000
0.35	0.65	0.00336	0.00500	10000	46315	159	7368
0.38	0.62	0.00350	0.00486	10000	46315	215	9736
0.39	0.61	0.00311	0.00498	10000	46315	262	12105
0.41	0.59	0.00292	0.00490	10000	46315	316	14473
0.44	0.56	0.00296	0.00523	10000	46315	370	16842
0.46	0.54	0.00284	0.00519	10000	46315	415	19210
0.49	0.51	0.00271	0.00495	10000	46315	462	21578
0.53	0.47	0.00245	0.00529	10000	46315	525	23947
