D1	D2	L1	L2	Shift	Mult	Time
0.54	0.46	0.00462	0.00429	104.22	2.00	5000.00
0.57	0.43	0.00432	0.00446	115.46	2.00	5454.55
0.55	0.45	0.00482	0.00437	124.51	2.00	5909.09
0.62	0.38	0.00418	0.00499	133.10	2.00	6363.64
0.68	0.32	0.00391	0.00502	147.66	2.00	6818.18
0.65	0.35	0.00405	0.00534	151.63	2.00	7272.73
0.66	0.34	0.00372	0.00553	165.77	2.00	7727.27
0.67	0.33	0.00386	0.00579	174.06	2.00	8181.82
0.67	0.33	0.00403	0.00529	188.44	2.00	8636.36
0.17	0.83	0.02024	0.00360	69.24	2.00	9090.91
0.69	0.31	0.00387	0.00534	209.81	2.00	9545.45
0.66	0.34	0.00387	0.00429	182.73	2.00	10000.00
0.72	0.28	0.00376	0.00540	230.83	2.00	10454.55
0.72	0.28	0.00373	0.00555	235.63	2.00	10909.09
0.72	0.28	0.00351	0.00539	239.32	2.00	11363.64
0.71	0.29	0.00368	0.00512	252.04	2.00	11818.18
0.72	0.28	0.00357	0.00579	271.47	2.00	12272.73
0.76	0.24	0.00359	0.00590	283.41	2.00	12727.27
0.74	0.26	0.00366	0.00567	292.57	2.00	13181.82
0.74	0.26	0.00353	0.00513	284.01	2.00	13636.36
0.75	0.25	0.00351	0.00588	306.02	2.00	14090.91
0.74	0.26	0.00370	0.00577	312.67	2.00	14545.45
0.73	0.27	0.00359	0.00533	323.24	2.00	15000.00
0.76	0.24	0.00342	0.00594	339.59	2.00	15454.55
0.76	0.24	0.00353	0.00543	338.55	2.00	15909.09
0.77	0.23	0.00351	0.00570	350.81	2.00	16363.64
0.79	0.21	0.00337	0.00575	362.44	2.00	16818.18
0.79	0.21	0.00333	0.00618	374.82	2.00	17272.73
0.81	0.19	0.00330	0.00575	383.23	2.00	17727.27
0.73	0.27	0.00321	0.00325	151.52	2.00	18181.82
0.90	0.10	0.00312	0.00756	477.48	2.00	18636.36
0.83	0.17	0.00325	0.00626	415.27	2.00	19090.91
0.83	0.17	0.00321	0.00567	420.31	2.00	19545.45
0.83	0.17	0.00324	0.00617	442.36	2.00	20000.00
